address,lat,lon
449 CLEMENTI AVE 3,1.31361567894894,103.764809966953
986A BUANGKOK CRES,1.3819169455989,103.87980371499
602 HOUGANG AVE 4,1.37123297855584,103.88691800304
33 EUNOS CRES,1.32018325530871,103.90080491512
24 EUNOS CRES,1.32377995139071,103.902330351336
410A FERNVALE RD,1.39005269523174,103.875940509386
360B ADMIRALTY DR,1.44873828964853,103.815232119298
108 SERANGOON NTH AVE 1,1.36990140336943,103.87120683593
528 SERANGOON NTH AVE 4,1.371418523926,103.872179843498
303A ANCHORVALE LINK,1.38707886249558,103.890776480517
264D COMPASSVALE BOW,1.38154507506991,103.895943415352
267 PASIR RIS ST 21,1.36594168369426,103.963475911176
101 PASIR RIS ST 12,1.36705021516612,103.958181857039
60 MARINE DR,1.30338982213302,103.908553539684
190 PUNGGOL CTRL,1.39924142015378,103.910054264326
482 ADMIRALTY LINK,1.45543968418756,103.815460900731
138 EDGEDALE PLAINS,1.39277115890643,103.909796213697
520 WOODLANDS DR 14,1.43417410308188,103.792397305065
743 WOODLANDS CIRCLE,1.44373361822384,103.79631194039
414 WOODLANDS ST 41,1.42790632290388,103.773387862138
737 YISHUN ST 72,1.42897510413082,103.832444552194
38A BENDEMEER RD,1.32005797775204,103.866939439236
234 YISHUN ST 21,1.43435351509231,103.837919538203
149 SIMEI ST 1,1.34588876242278,103.956025808254
167B SIMEI LANE,1.34313573705442,103.959642800881
348 TAMPINES ST 33,1.35252559927253,103.963366935432
105 SIMEI ST 1,1.34092459427981,103.950742498791
8 MARSILING DR,1.44134504107456,103.777182721751
52 LOR 6 TOA PAYOH,1.33824914332833,103.852481978622
115 POTONG PASIR AVE 1,1.33726999806036,103.862806558366
393 BT BATOK WEST AVE 5,1.36649328120419,103.753112569115
291 BISHAN ST 24,1.35591015038813,103.845158434779
340 BT BATOK ST 34,1.36314201237933,103.749541119795
4 TG PAGAR PLAZA,1.27590520131404,103.842741240941
612 SENJA RD,1.38402104593465,103.761034236428
538 JELAPANG RD,1.38387053713683,103.763690774195
317 ANG MO KIO ST 31,1.36562478329901,103.847011474539
122 BEDOK NTH ST 2,1.32861719819893,103.937787149387
319 ANG MO KIO AVE 1,1.36511023350774,103.847379037914
607 BEDOK RESERVOIR RD,1.33108483907724,103.912899551537
613 BEDOK RESERVOIR RD,1.33189327383579,103.917026960083
420 BEDOK NTH ST 1,1.32774467875638,103.928874390405
524 BEDOK NTH ST 3,1.33484035279202,103.930637846839
939 JURONG WEST ST 91,1.34295232797122,103.689028795017
699A HOUGANG ST 52,1.37697211655509,103.888864094008
243 JURONG EAST ST 24,1.34206406490644,103.743306656115
86 WHAMPOA DR,1.32313609086907,103.855871591303
486 JURONG WEST AVE 1,1.34872558119207,103.726332616154
362 CLEMENTI AVE 2,1.31271692776983,103.769902553813
45 CIRCUIT RD,1.32638789366841,103.886077337454
483 CHOA CHU KANG AVE 5,1.37584148701172,103.737757429932
248 HOUGANG AVE 3,1.35937034964577,103.892587549209
301 UBI AVE 1,1.33068802490987,103.901953040703
53 PIPIT RD,1.32399305603529,103.886692720017
447A JLN KAYU,1.3921382852483,103.872490556246
207B COMPASSVALE LANE,1.38496286333898,103.898227965835
30 HOLLAND CL,1.30774789148086,103.796627163472
81 STRATHMORE AVE,1.29462040658733,103.80927727367
248 COMPASSVALE RD,1.39219791250272,103.898456289529
217 SERANGOON AVE 4,1.35763504826187,103.87209077271
102 RIVERVALE WALK,1.38180761026047,103.900893229708
435C FERNVALE RD,1.39359978788204,103.876912987517
245 PASIR RIS ST 21,1.37110012229173,103.96304680441
630 PASIR RIS DR 3,1.3783821527515,103.941096778597
204B PUNGGOL FIELD,1.39868224502097,103.903211124105
142 PASIR RIS ST 11,1.36345258509225,103.958901731763
481 PASIR RIS DR 4,1.37389876519666,103.958929343522
191 PASIR RIS ST 12,1.36606696993045,103.95873102026
173A PUNGGOL FIELD,1.39701308622338,103.909354092412
97 C'WEALTH CRES,1.30616047214581,103.801495664171
612B PUNGGOL DR,1.40493858379942,103.908157161266
671 WOODLANDS DR 71,1.43905964105019,103.798774829516
589 WOODLANDS DR 16,1.42774541328112,103.795127473119
304 WOODLANDS ST 31,1.42989255980863,103.773853927578
15 MARSILING LANE,1.44192560223859,103.778158395764
786E WOODLANDS DR 60,1.44708104147411,103.800563797362
630 YISHUN ST 61,1.41801913333461,103.837784321062
297 YISHUN ST 20,1.43578412134202,103.835379025187
150 YISHUN ST 11,1.43096941749525,103.833648678573
808 WOODLANDS ST 81,1.44228123978512,103.78691557368
31 MARSILING DR,1.44298595480646,103.772342694658
878 TAMPINES AVE 8,1.35221187065647,103.931382253216
701 TAMPINES ST 71,1.35617182936882,103.936798850032
551 SERANGOON NTH AVE 3,1.37235594099349,103.870847793487
818 TAMPINES ST 81,1.34797229492491,103.93683820272
144 POTONG PASIR AVE 2,1.33262019907368,103.86551350588
195 KIM KEAT AVE,1.33008102222991,103.858354604112
168C SIMEI LANE,1.34247709890668,103.958539053563
168A SIMEI LANE,1.34273869646672,103.958976326972
22 TELOK BLANGAH CRES,1.27655921599768,103.819821916902
18 CANTONMENT CL,1.27390144581321,103.839417299226
146 BT BATOK WEST AVE 6,1.34966890869827,103.744083499088
175 BT BATOK WEST AVE 8,1.34554897953938,103.741598629749
390 BT BATOK WEST AVE 5,1.36535402711964,103.752433206591
392 BT BATOK WEST AVE 5,1.36586608373138,103.753323280718
8 EMPRESS RD,1.31641190098174,103.805373811937
17 TECK WHYE LANE,1.37919759061172,103.753933666216
512 JELAPANG RD,1.38733197714311,103.768255010804
181 JELEBU RD,1.37925788735519,103.762997101416
122 ANG MO KIO AVE 3,1.37018860668947,103.843413231524
30 NEW UPP CHANGI RD,1.32352678248226,103.936423896498
537 ANG MO KIO AVE 5,1.37520009617687,103.853059796325
434 ANG MO KIO AVE 10,1.3678915069194,103.85345502653
417 ANG MO KIO AVE 10,1.36495953274783,103.855197097728
24 SIN MING RD,1.35518696986305,103.836337992513
272 BT BATOK EAST AVE 4,1.34879030700149,103.757864718209
179 BISHAN ST 13,1.34860831209993,103.851843334947
125 BEDOK NTH RD,1.32884321524242,103.939123687022
221C BEDOK CTRL,1.32499916612366,103.934234380089
724 JURONG WEST ST 72,1.34504744920415,103.698147806019
475 JURONG WEST ST 41,1.34809804107273,103.725087226378
238 JURONG EAST ST 21,1.34071930674982,103.74056288551
306 JURONG EAST ST 32,1.34607046577403,103.735252691468
492 JURONG WEST ST 41,1.34994543559348,103.725180466645
83 WHAMPOA DR,1.32357483276513,103.857034858444
15 BEACH RD,1.29581740784512,103.855503631917
426 JURONG WEST AVE 1,1.35159139427911,103.72464010393
556 JURONG WEST ST 42,1.35362210304169,103.717858506741
424 CLEMENTI AVE 1,1.30954013201631,103.770500847759
348 UBI AVE 1,1.32615026018563,103.900527500118
25 EUNOS CRES,1.32340331604205,103.902375742055
641 CHOA CHU KANG ST 64,1.39830454666217,103.749817817326
107 ALJUNIED CRES,1.31896465338811,103.884287246879
630 HOUGANG AVE 8,1.37028550123907,103.881064208977
960 HOUGANG AVE 9,1.37710251650139,103.878482665421
3A GEYLANG SERAI,1.31750130819405,103.898911531937
123 HOUGANG AVE 1,1.35338313924634,103.88625894527
502A WELLINGTON CIRCLE,1.45093008840551,103.821415036965
7A C'WEALTH AVE,1.30679184695836,103.794899226373
209A COMPASSVALE LANE,1.38359765453194,103.898502660861
5 LOR LEW LIAN,1.35003202767253,103.876841832334
322C ANCHORVALE DR,1.39189398402945,103.892092264081
