name,lat,lon
After Ang Mo Kio Interchange,1.3715727,103.8482189
Opposite Nanyang Polytechnic,1.3783353,103.8472106
Opposite Blk 504,1.3746634,103.8478249
Nanyang Polytechnic,1.3790605,103.8472113
Yio Chu Kang Stadium,1.3840837,103.8467735
Ang Mo Kio Community Hospital,1.3833611,103.8403407
Opposite Ang Mo Kio Police Division Headquarters,1.3840695,103.8446457
Ang Mo Kio Police Division Headquarters,1.3843232,103.8452471
Opposite Ang Mo Kio Community Hospital,1.3833619,103.8407101
Opposite Yio Chu Kang Stadium,1.3842943,103.8468412
Opposite Blk 4025,1.3587724,103.8559726
Extra Space,1.372117,103.864539
Sing Industrial Complex,1.375724,103.864655
Opposite Blk 5043,1.3733569,103.8630587
Opposite Blk 5060,1.3753603,103.8617824
Before Ang Mo Kio Industrial Park 2A,1.377022,103.866998
Blk 5046,1.3734232,103.8628844
Blk 5032,1.372192,103.863322
Opposite Blk 255,1.3710643,103.8348098
Blk 255,1.3708865,103.834802
Blk 522,1.3729315,103.8516285
Opposite Blk 522,1.3726926,103.8521873
Opposite Blk 527,1.3720618,103.8549344
Blk 527,1.3723787,103.854196
Opposite Blk 507,1.3746136,103.8509009
Blk 507,1.3741707,103.8507624
Blk 549,1.3732725,103.8571769
Blk 561,1.3703515,103.8579867
Blk 645,1.379492,103.842642
Opposite Yio Chu Kang Community Club,1.3811384,103.8410103
After Ang Mo Kio Fire Station,1.3857763,103.8457115
Ang Mo Kio Interchange,1.3697226,103.8484254
Liuxun Sanhemiao Temple,1.38579,103.8483304
Before Ang Mo Kio Street 64,1.3869294,103.8480552
After Ang Mo Kio Street 62,1.3878384,103.8461959
Before Ang Mo Kio Street 62,1.3884627,103.8459071
Hub Synergy Point,1.2739784,103.8448956
Tanjong Pagar Station Exit C,1.2758255,103.8462973
Clementi Stadium,1.3109308,103.7635361
The Infiniti,1.32051,103.7547157
After Clementi Swimming Complex,1.307653,103.76674
Opposite Newest,1.3177565,103.7576698
Blk 426,1.3116795,103.7634269
Blk 431,1.3137233,103.7614385
Opposite The Infiniti,1.3210222,103.7547679
Blk 506,1.3131549,103.7612183
Newest,1.3167036,103.7579047
Clementi Flyover,1.3079899,103.7659254
After National University of Singapore High School,1.3051693,103.7698589
Cycle & Carriage,1.3225683,103.7476918
NUS Sports Ctr,1.2993347,103.779294
Opp NUS Sports Ctr,1.3005951,103.7781651
Opposite Cycle & Carriage,1.3233329,103.7476979
Pcs Cplx,1.27301,103.715075
Opposite One-North Station,1.2984366,103.7872517
One-North Station,1.2989353,103.7867391
Tempco Manufacturing,1.296061,103.789212
Singapore Post,1.2947017,103.7876918
Blk 55,1.2947852,103.7873375
Before Ayer Rajah Cresent,1.2939181,103.7894999
